,Name,Gender,Age,Ethnicity,Family_Status,Number_Caretakers,State_Caretakers,Number_Siblings,Order_Among_Siblings,State_Residence,Country,State_Country,State,State_State,State_School,State_Teachers,State_Classmates,Academic_Level,Grade,Academic_Passion,Years_Failed,Commute_Distance,Commute_Method,Commute_Duration,State_Commute,Work,Work_Type,State_Work,Dropout
592,Eleanor Reyes,female,22,Asian,extended family,4,4,2,2,7,Ireland,7.085,Mayo,3,2,7,6,C,5,9,2,3.8,car,22,3,True,family business,4,False
593,Travis Hudson,male,37,White,extended family,3,1,2,2,1,United States,4.951,West Virginia,1,8,9,1,C−,14,8,2,20.0,car,120,6,True,family business,9,False
594,Imogen Jones,female,39,Asian,Adopted,3,5,1,1,2,New Zealand,8.277000000000001,Bay of Plenty,5,10,4,4,C−,7,6,1,0.9,walking,54,7,False,,,True
595,Teresa Hill,female,58,Black,biological family,1,10,4,3,10,Ireland,8.085,Longford,7,5,8,5,B−,7,10,2,3.5,bicycle,35,7,False,,,False
596,Ella Marchand,female,26,White,extended family,4,4,4,3,7,Switzerland,7.571,Aargau,7,6,3,3,D+,1,6,0,11.6,train,99,6,True,craftsmanship,3,True
597,Tomothy Adams,male,71,Black,extended family,2,6,2,2,6,Ireland,8.085,Offaly,6,2,10,4,D,3,10,2,9.5,bicycle,95,4,False,,,False
598,Romero Hulst,male,74,Hispanic,step family,5,6,4,4,8,Netherlands,8.464,Friesland,8,10,3,5,B+,9,3,3,1.4,motorbike,8,2,False,,,True
599,Laila Mendes,female,37,Hispanic,Adopted,2,7,3,1,7,Brazil,8.33,Pernambuco,1,7,3,2,A+,L1,9,1,2.6,taxi,17,4,True,family business,9,True
600,Gene Mills,male,75,Asian,biological family,1,3,2,1,5,Ireland,9.085,Meath,6,2,1,7,B+,5,4,2,2.0,car,12,2,True,hobby,4,False
601,Sandra Mills,female,48,Asian,biological family,3,1,2,1,4,Australia,7.183,Western Australia,3,2,5,7,C−,1,4,3,17.5,car,105,1,False,,,False
602,Çetin Poyrazoğlu,male,29,Hispanic,extended family,1,9,4,4,1,Turkey,2.9480000000000004,Çanakkale,1,9,6,5,C,4,6,0,20.5,metro,307,2,True,hobby,10,True
603,Kristian Veldstra,male,39,White,biological family,3,4,4,4,9,Netherlands,7.464,Noord-Holland,3,8,7,1,A−,13,4,3,4.4,train,37,4,True,craftsmanship,4,True
604,Luisa Nazario,female,48,Asian,extended family,3,7,4,2,8,Mexico,6.317,Tlaxcala,6,8,7,7,B−,5,7,1,3.2,bus,32,9,True,hobby,10,False
605,Christian Asmus,male,69,Asian,biological family,3,4,4,1,7,Germany,9.155000000000001,Hamburg,4,8,6,7,C−,6,6,3,10.7,motorbike,64,10,True,craftsmanship,4,True
606,Belinda Peixoto,female,53,Black,Adopted,4,5,4,2,8,Brazil,6.33,Tocantins,4,8,5,9,D+,13,4,0,12.8,train,109,8,True,family business,9,True
607,آراد جعفری,male,46,Black,Adopted,1,8,2,1,1,Iran,5.721,چهارمحال و بختیاری,2,5,4,2,C,7,9,3,2.0,walking,120,6,True,hobby,10,False
608,Stella Arnaud,female,69,Arab,Abandonned,2,9,1,1,3,France,6.69,Vosges,5,10,7,5,C−,6,4,3,4.7,bus,47,1,True,repetitive labour,9,True
609,Carter Peterson,male,31,Hispanic,extended family,1,4,4,3,10,United States,4.951,Hawaii,2,8,10,2,F,L2,8,1,11.0,motorbike,66,3,True,family business,7,True
610,Rúben Novaes,male,62,White,biological family,5,9,1,1,6,Brazil,7.33,São Paulo,5,3,2,3,A,M1,5,1,2.2,walking,132,7,True,hobby,2,False
611,Patsy Roberts,female,21,Black,Abandonned,4,1,3,2,4,United States,6.951,Wisconsin,5,1,7,1,C,3,6,3,2.0,taxi,13,2,False,,,True
612,Ruth Oliveira,female,46,Arab,extended family,4,9,4,3,3,Brazil,7.33,Alagoas,7,8,9,4,C+,2,1,3,13.1,motorbike,78,9,True,hobby,3,False
613,Emilia Hernández,female,21,Black,biological family,3,9,2,1,8,Spain,5.491,Región de Murcia,2,1,7,3,C+,11,3,3,20.5,bicycle,205,10,False,,,True
614,Eelis Makela,male,41,Asian,Abandonned,4,8,1,1,2,Finland,7.842,Northern Savonia,7,9,7,7,D,10,8,1,5.4,metro,81,10,True,craftsmanship,4,True
615,مهرسا حسینی,female,74,Arab,Abandonned,1,1,4,4,1,Iran,5.721,چهارمحال و بختیاری,4,8,9,9,C−,13,4,0,6.0,bus,60,1,True,family business,3,True
616,Fabienne Dumont,female,60,Hispanic,extended family,5,9,4,2,10,Switzerland,7.571,Zug,7,7,10,2,B,12,3,0,4.4,taxi,29,2,True,craftsmanship,3,True
617,Vincent Miller,male,61,White,biological family,5,7,2,1,7,Canada,5.103,Ontario,1,2,6,7,C,12,4,1,0.7,bicycle,6,6,False,,,True
618,كيان حسینی,male,32,Arab,Adopted,2,5,4,2,10,Iran,2.721,قم,1,7,9,7,B+,8,6,1,9.8,taxi,65,10,True,family business,9,False
619,Andres Neuner,male,75,Black,step family,1,2,3,2,6,Germany,8.155000000000001,Berlin,8,9,6,3,A+,8,10,3,7.1,bicycle,71,1,False,,,True
620,Tverdislav Kalinec,male,53,White,step family,4,10,4,1,4,Ukraine,6.875,Poltavska,4,3,4,3,B−,7,3,2,1.8,motorbike,10,10,False,,,False
621,Diliana Dunnink,female,64,Asian,extended family,1,2,4,3,10,Netherlands,9.464,Gelderland,1,7,9,2,D+,14,10,3,2.3,train,19,6,True,family business,5,True
622,Isabella Wood,female,74,Black,step family,3,4,4,4,2,New Zealand,5.277,Waikato,1,10,5,2,B+,L3,3,0,11.3,walking,678,7,True,craftsmanship,5,True
623,Yosifata Volinec,female,75,Asian,biological family,2,3,3,3,9,Ukraine,3.875,Cherkaska,3,3,3,6,C+,12,3,1,1.8,metro,27,10,True,repetitive labour,2,False
624,Viljami Koski,male,50,Black,Adopted,3,8,2,1,10,Finland,8.841999999999999,Ostrobothnia,2,5,4,4,F,M2,7,3,2.8,motorbike,16,9,False,,,True
625,Marie Meunier,female,70,White,biological family,3,5,2,2,10,Switzerland,8.571,Graubünden,1,10,6,5,A,4,5,2,1.4,train,11,1,False,,,True
626,Loïs Boyer,male,41,White,Adopted,5,6,1,1,3,France,8.690000000000001,Morbihan,6,4,7,2,C,M1,4,2,13.1,taxi,87,6,True,repetitive labour,8,True
627,آیلین محمدخان,female,42,Arab,biological family,5,10,4,1,6,Iran,3.721,خراسان رضوی,2,7,1,6,C,10,7,0,18.0,bicycle,180,2,True,hobby,6,False
628,Tristan Kristensen,male,47,Asian,biological family,2,2,4,4,2,Denmark,9.620000000000001,Midtjylland,9,4,8,7,B−,12,5,0,24.5,bus,244,8,True,repetitive labour,9,False
629,Darren Welch,male,72,Black,Adopted,1,1,2,1,1,United Kingdom,5.064,Berkshire,5,4,10,2,A+,13,3,3,19.0,taxi,126,7,True,craftsmanship,9,True
630,Emil Lehtonen,male,56,White,biological family,2,5,1,1,2,Finland,7.842,Kymenlaakso,1,3,1,1,C+,M2,3,0,9.2,taxi,61,9,False,,,True
631,Kaisa Ytterstad,female,35,Arab,extended family,2,3,4,2,5,Norway,6.392,Trøndelag,3,6,2,10,D+,L1,4,3,0.7,metro,10,5,True,family business,2,True
632,Sennah Wassing,female,36,Hispanic,biological family,3,4,2,2,6,Netherlands,6.464,Overijssel,6,10,2,6,B,M1,7,2,4.8,train,41,8,True,craftsmanship,4,True
633,Veronica Jimenez,female,63,Hispanic,step family,5,5,3,3,1,Australia,6.183,Queensland,2,2,10,4,D+,9,10,3,5.1,bicycle,51,5,True,hobby,7,False
634,Celísio Aragão,male,26,Black,extended family,1,1,1,1,7,Brazil,4.33,Maranhão,1,5,2,6,C+,13,10,2,18.0,taxi,120,4,False,,,False
635,Maricilda Viana,female,50,Arab,step family,3,3,1,1,8,Brazil,8.33,Roraima,7,10,7,1,B−,14,1,2,19.0,metro,285,5,True,craftsmanship,8,True
636,Linnea Nikula,female,26,Hispanic,Adopted,3,4,1,1,4,Finland,7.842,Åland,3,10,8,6,B−,5,3,2,0.7,bicycle,6,4,True,craftsmanship,6,True
637,Tyler Ellis,male,74,Asian,extended family,5,4,4,1,4,United Kingdom,6.064,Clwyd,3,9,5,10,C−,6,3,1,4.9,car,29,1,True,hobby,9,False
638,Ekansh Banerjee,male,53,Asian,step family,3,10,1,1,8,India,4.819,Sikkim,2,7,6,8,D+,4,9,0,1.2,bicycle,11,8,False,,,True
639,Oleh Barabash,male,75,Black,Abandonned,1,4,1,1,4,Ukraine,4.875,Harkivska,2,1,1,6,C−,5,4,0,6.2,car,37,1,False,,,True
640,Coralie Petit,female,57,Hispanic,Adopted,2,1,4,2,7,Switzerland,5.571,Solothurn,1,8,10,9,B+,6,6,0,10.4,train,89,9,False,,,False
641,Gül Tanrıkulu,female,24,Hispanic,biological family,2,6,4,1,9,Turkey,4.948,Eskişehir,2,4,3,2,A−,11,5,0,6.0,taxi,40,2,False,,,True
642,Franco Martin,male,69,White,biological family,5,5,4,2,9,Switzerland,6.571,Nidwalden,2,2,1,4,D+,13,8,0,3.9,bus,39,5,True,craftsmanship,1,True
643,Cristian Rodríquez,male,22,Asian,Abandonned,2,1,1,1,4,Mexico,8.317,San Luis Potosí,8,5,9,3,D+,11,6,2,4.0,bicycle,40,4,True,craftsmanship,2,False
644,Alba Vicente,female,44,Asian,Adopted,1,8,4,3,2,Spain,4.491,Comunidad de Madrid,3,1,3,7,A+,13,7,1,23.0,metro,345,7,False,,,True
645,Mirella Martinez,female,49,Black,biological family,1,7,3,2,6,Switzerland,9.571,Neuchâtel,4,3,4,4,D,14,1,2,5.7,bicycle,57,8,False,,,True
646,Susana Santos,female,48,Hispanic,Adopted,3,3,2,1,10,Spain,5.491,Aragón,5,2,8,2,A,4,6,1,21.0,car,126,1,True,repetitive labour,10,False
647,Jose May,male,41,Asian,extended family,4,10,2,1,4,United Kingdom,9.064,Derbyshire,7,2,3,8,A,11,8,1,14.3,train,122,5,False,,,True
648,سورنا علیزاده,male,53,White,extended family,4,1,1,1,10,Iran,6.721,گیلان,1,10,2,6,B−,1,5,2,1.0,walking,60,3,True,hobby,5,False
649,Patrice Perrin,male,27,Asian,biological family,5,9,4,4,2,Switzerland,5.571,Appenzell Ausserrhoden,3,10,2,9,F,7,5,0,0.6,walking,36,4,False,,,False
650,Dino Nogueira,male,22,Black,step family,4,8,4,3,10,Brazil,8.33,Distrito Federal,1,9,6,2,B−,8,4,1,13.1,walking,786,7,True,hobby,9,True
651,Vito Dupuis,male,39,White,extended family,5,5,2,1,1,Switzerland,6.571,Zürich,6,5,8,8,C+,1,1,0,10.1,motorbike,60,10,True,hobby,4,True
652,Jon Woods,male,60,White,step family,4,3,3,3,8,Ireland,5.085,Westmeath,3,8,7,5,D+,11,8,1,1.4,metro,21,7,True,craftsmanship,3,True
653,Minerva Ibarra,female,59,White,Abandonned,4,8,1,1,2,Mexico,8.317,Guerrero,6,4,3,3,B,2,8,2,6.3,bus,63,6,False,,,False
654,Carola Mercier,female,62,Arab,Abandonned,4,4,1,1,1,Switzerland,7.571,Aargau,4,10,10,1,A−,3,6,3,6.2,walking,372,2,False,,,True
655,محمدپارسا سلطانی نژاد,male,55,Arab,extended family,5,10,1,1,7,Iran,2.721,یزد,1,7,1,1,B,L3,5,1,12.5,taxi,83,9,True,family business,9,True
656,Blagoje Topić,male,22,Black,extended family,4,7,1,1,4,Serbia,5.078,Mačva,4,2,2,9,C−,1,5,1,1.1,car,6,10,False,,,True
657,Izzie Watkins,female,53,White,biological family,5,4,3,3,1,United Kingdom,6.064,Lancashire,1,8,5,6,D−,M1,9,1,1.6,taxi,10,1,True,family business,6,False
658,Meral Kurutluoğlu,female,31,Asian,Adopted,5,4,2,1,1,Turkey,2.9480000000000004,Kastamonu,2,5,4,5,B,7,2,1,20.0,bus,200,6,False,,,False
659,Jonathan Castro,male,39,Hispanic,Abandonned,5,6,4,2,6,Spain,5.491,Castilla la Mancha,2,4,8,4,A,10,5,1,15.0,train,128,10,True,repetitive labour,1,False
660,David Torres,male,37,Hispanic,Abandonned,5,8,4,4,4,Spain,7.491,Castilla y León,2,9,6,8,D+,11,2,3,24.0,motorbike,144,2,False,,,False
661,Rommert Lemans,male,23,Black,step family,4,7,1,1,8,Netherlands,9.464,Utrecht,7,6,9,10,D,10,3,0,21.0,metro,315,8,False,,,False
662,سپهر نجاتی,male,33,Hispanic,Adopted,2,4,4,1,8,Iran,3.721,سیستان و بلوچستان,3,5,10,5,A+,3,10,0,4.5,motorbike,27,9,False,,,False
663,María Melgar,female,27,Black,Adopted,1,1,2,1,9,Mexico,7.317,Nuevo Leon,4,10,1,8,C+,L2,5,0,2.3,bicycle,23,5,True,hobby,3,True
664,Annabelle Evans,female,48,Arab,Adopted,5,2,4,3,8,New Zealand,9.277000000000001,Manawatu-Wanganui,3,2,3,8,A+,8,4,1,2.0,metro,30,2,True,repetitive labour,1,True
665,Mathias Hansen,male,76,Arab,extended family,5,9,1,1,2,Denmark,7.62,Syddanmark,4,6,5,5,B+,12,8,0,3.8,bus,38,4,False,,,True
666,Thiago Moulin,male,62,Arab,biological family,1,9,1,1,5,France,5.69,Corrèze,2,2,1,10,C,2,9,0,5.4,walking,324,1,False,,,True
667,Raimundo Silva,male,71,Arab,Abandonned,5,1,1,1,4,Brazil,8.33,Paraná,6,2,2,7,C+,11,2,3,3.2,taxi,21,5,True,craftsmanship,10,True
668,Dantur Luchickiy,male,32,White,Adopted,2,10,1,1,5,Ukraine,5.875,Avtonomna Respublika Krim,3,8,2,9,C+,5,7,2,3.7,bus,37,5,True,repetitive labour,1,True
669,Alexandra Ruiz,female,48,Asian,Adopted,1,9,4,3,4,United Kingdom,6.064,Northumberland,6,6,10,6,D−,11,6,1,2.3,metro,34,8,True,craftsmanship,2,True
670,Victor Ouellet,male,22,White,Adopted,2,2,4,3,6,Canada,8.103,Saskatchewan,7,6,7,1,D+,13,6,1,0.6,metro,9,4,True,repetitive labour,9,False
671,Nicolas Calvo,male,39,Arab,Abandonned,5,9,3,3,9,Spain,5.491,Ceuta,1,5,10,5,C+,9,5,1,1.4,walking,84,8,True,craftsmanship,7,True
672,Olivia Lambert,female,46,Arab,biological family,3,3,3,2,5,France,8.690000000000001,Pas-de-Calais,7,8,5,3,C+,L3,8,3,14.3,bicycle,143,7,True,hobby,4,False
673,Diana Phillips,female,42,Black,Adopted,1,4,2,2,2,United Kingdom,6.064,County Armagh,2,5,10,2,A,1,1,3,2.6,taxi,17,2,True,repetitive labour,1,False
674,Curtis Shelton,male,52,Black,step family,5,7,1,1,1,United States,5.951,Idaho,4,2,2,4,F,3,1,2,3.7,walking,222,1,True,family business,7,True
675,Kassandra Prishchepa,female,50,Arab,Adopted,5,6,2,2,4,Ukraine,6.875,Donecka,6,7,7,7,B,12,4,1,2.1,walking,126,7,True,family business,1,False
676,پارمیس نجاتی,female,39,Black,Abandonned,3,8,2,1,7,Iran,6.721,گلستان,6,3,1,10,D,M1,5,0,4.5,bicycle,45,6,False,,,False
677,Jonas Gomes,male,36,Arab,Adopted,1,5,4,1,7,Brazil,5.33,Amazonas,5,10,5,10,B−,2,10,1,11.3,walking,678,8,False,,,True
678,Tiffany Sullivan,female,68,White,biological family,1,2,4,3,8,Australia,6.183,New South Wales,6,6,2,10,D−,11,2,3,3.8,bicycle,38,8,True,hobby,10,True
679,John Navarro,male,61,Asian,biological family,3,5,3,2,5,Spain,8.491,Región de Murcia,7,5,10,8,B,14,10,3,18.0,train,154,2,True,family business,1,True
680,Claire Henderson,female,47,Asian,Adopted,3,1,1,1,2,Ireland,5.085,Longford,3,6,7,9,B,L3,5,1,21.0,train,180,10,True,family business,2,False
681,Aaron Patel,male,72,Black,Adopted,3,3,4,4,10,New Zealand,7.277,Gisborne,2,9,9,2,A+,9,9,3,1.4,motorbike,8,9,False,,,True
682,Çetin Kurutluoğlu,male,76,White,Adopted,3,10,3,1,5,Turkey,3.9480000000000004,Muş,2,7,6,8,A−,11,1,1,5.3,taxi,35,6,True,hobby,4,True
683,Jairo Monroy,male,71,Black,Abandonned,2,2,4,3,7,Mexico,8.317,Guanajuato,3,10,8,10,B,L3,10,0,18.5,bicycle,185,2,True,hobby,9,True
684,Natalia Vasić,female,63,Asian,biological family,3,8,4,3,5,Serbia,4.078,Pomoravlje,2,8,3,4,A,2,2,1,5.5,walking,330,5,True,craftsmanship,4,False
685,Albert Møller,male,65,Arab,step family,5,7,2,1,5,Denmark,9.620000000000001,Nordjylland,7,1,4,3,D,M2,2,3,16.0,taxi,106,2,False,,,True
686,Emmie Gjestvang,female,67,Black,Adopted,4,6,1,1,1,Norway,6.392,Hedmark,3,4,10,1,B−,M1,1,2,11.9,motorbike,71,2,False,,,False
687,Aleksi Murto,male,57,Hispanic,Abandonned,5,2,3,1,9,Finland,5.842,Northern Savonia,4,8,6,9,C+,10,2,1,8.3,taxi,55,9,True,hobby,2,False
688,Meral Kuday,female,22,Black,biological family,3,2,1,1,2,Turkey,5.948,Denizli,3,10,3,1,B,L3,3,1,3.0,motorbike,18,5,True,family business,3,False
689,Vitaliano da Rocha,male,64,Arab,extended family,3,7,1,1,10,Brazil,7.33,Santa Catarina,6,4,5,8,C,10,5,3,5.7,metro,85,3,False,,,False
690,Ieremiy Kuc,male,46,White,Abandonned,5,3,4,3,9,Ukraine,6.875,Dnipropetrovska,6,3,5,3,A,L3,7,1,13.4,bicycle,134,1,False,,,True
691,Julius Makela,male,43,Arab,step family,1,1,1,1,7,Finland,9.841999999999999,Satakunta,1,7,1,1,A,7,10,3,1.4,bus,13,9,True,hobby,7,True
692,Milagros Herrero,female,48,White,step family,1,5,4,1,9,Spain,7.491,Cantabria,5,4,1,8,A−,6,10,1,3.2,taxi,21,5,True,craftsmanship,7,True
693,Sofia Ibáñez,female,65,Arab,biological family,1,9,4,3,3,Spain,6.491,Melilla,3,2,5,9,D+,7,4,3,6.2,bus,62,1,True,repetitive labour,1,False
694,Mille Larsen,male,76,Hispanic,Abandonned,5,8,3,2,6,Denmark,7.62,Nordjylland,1,1,7,1,A−,14,10,0,14.9,bus,149,9,True,family business,3,False
695,Matthieu Philippe,male,69,White,extended family,4,1,1,1,10,France,7.69,Meurthe-et-Moselle,5,5,7,5,B+,3,6,2,6.1,bus,61,3,False,,,True
696,Tess Noel,female,75,White,biological family,4,6,1,1,8,France,5.69,Sarthe,1,8,7,9,A−,L3,4,0,5.3,bus,53,6,False,,,True
697,Coşkun Yıldızoğlu,male,48,Asian,biological family,1,9,4,2,7,Turkey,6.948,Manisa,1,3,6,2,B+,2,5,2,15.0,taxi,100,8,True,family business,10,True
698,Jared Gonzalez,male,59,Hispanic,Adopted,2,5,3,2,2,Australia,7.183,Northern Territory,5,2,2,6,D−,L1,9,0,5.1,walking,306,9,False,,,True
699,Babür Biçer,male,68,White,Adopted,3,10,1,1,8,Turkey,5.948,Aydın,5,5,8,7,D,13,10,1,1.1,motorbike,6,2,True,repetitive labour,10,True
700,Garcia Lopes,male,31,White,Adopted,5,1,3,1,2,Brazil,6.33,Maranhão,1,2,3,5,D+,8,5,1,4.7,metro,70,7,False,,,True
701,Maja Andersen,female,69,White,extended family,2,6,3,2,4,Denmark,9.620000000000001,Nordjylland,4,1,7,8,A+,13,6,1,5.5,train,47,8,False,,,True
702,Rawan Lyng,female,54,Black,Adopted,2,6,2,1,10,Norway,5.392,Troms - Romsa,2,10,3,4,B+,14,8,1,0.6,bus,5,4,True,repetitive labour,6,False
703,Angela Walker,female,31,White,Abandonned,2,10,1,1,3,United Kingdom,7.064,Avon,4,6,5,1,D+,L1,4,2,3.2,taxi,21,8,False,,,False
704,Sarthak Mendonsa,male,66,Black,extended family,2,7,4,1,1,India,4.819,Delhi,4,8,9,9,B,8,4,0,4.1,bus,40,4,False,,,True
705,Dwayne Burton,male,66,White,Abandonned,4,10,3,2,5,Ireland,7.085,South Dublin,7,8,1,7,F,6,7,0,3.1,bus,31,8,False,,,True
706,Aida Collazo,female,21,Asian,extended family,4,2,3,1,5,Mexico,4.317,Tamaulipas,1,5,3,9,C,13,5,0,1.0,taxi,6,7,True,family business,10,False
707,Yarema Gonskiy,male,72,Black,Adopted,2,8,4,1,7,Ukraine,6.875,Sumska,1,8,2,8,C+,13,9,3,9.5,taxi,63,3,True,hobby,7,True
708,Özsu Baturalp,female,32,Arab,biological family,4,6,4,4,1,Turkey,5.948,Gaziantep,1,4,2,3,D,11,3,0,9.2,walking,552,3,False,,,True
709,Alfred Porter,male,28,Asian,step family,4,3,1,1,4,Ireland,8.085,Longford,7,8,9,9,A,7,9,2,10.7,taxi,71,2,False,,,False
710,Layla Walker,female,41,Black,step family,5,3,1,1,4,New Zealand,7.277,Taranaki,5,10,3,6,D+,10,6,1,16.0,bus,160,4,False,,,True
711,Mia Fabre,female,71,White,biological family,2,10,3,3,4,France,4.69,Cher,2,2,4,9,A−,9,4,3,3.2,walking,192,7,True,hobby,4,True
712,Željka Milutinović,female,28,Asian,extended family,3,2,3,1,6,Serbia,5.078,Pirot,3,3,9,4,A+,6,9,3,1.2,bus,11,9,True,craftsmanship,6,False
713,Gjalt Beaumont,male,49,White,Adopted,4,7,2,2,1,Netherlands,7.464,Limburg,4,7,8,8,A+,M2,4,1,14.0,metro,210,8,False,,,True
714,Eric Woods,male,26,Black,Abandonned,1,6,1,1,3,Australia,9.183,Queensland,9,1,9,10,C+,4,8,2,14.9,car,89,2,True,hobby,9,True
715,Inesa Drozdenko,female,46,Asian,Abandonned,4,9,2,1,10,Ukraine,6.875,Hersonska,5,9,9,5,C,8,1,0,5.4,bicycle,54,3,True,hobby,6,True
716,Caitlin Little,female,65,Asian,Abandonned,5,10,1,1,6,Ireland,8.085,South Dublin,2,7,9,1,C,4,10,1,19.0,bus,190,3,False,,,True
717,Julian Louis,male,21,Arab,step family,4,4,3,3,4,France,5.69,Essonne,3,5,5,10,D−,L3,5,2,0.8,bus,8,9,False,,,False
718,Javier Oliver,male,35,Asian,Adopted,5,1,3,3,5,Australia,6.183,Australian Capital Territory,2,1,10,6,C−,7,8,2,3.8,bicycle,38,4,False,,,True
719,Esra Piels,male,44,Arab,extended family,1,2,1,1,4,Netherlands,5.464,Drenthe,4,8,1,5,F,4,9,0,4.1,bus,40,10,True,hobby,1,True
720,Paola Collazo,female,61,Black,Abandonned,2,5,2,2,6,Mexico,7.317,Michoacan,7,7,8,7,F,M1,1,1,2.7,bus,27,1,True,hobby,9,False
721,Adrián Nieto,male,32,Hispanic,extended family,5,5,3,2,7,Spain,5.491,Extremadura,4,5,3,9,A+,13,4,1,3.9,bicycle,39,6,False,,,False
722,ماهان زارعی,male,58,Asian,step family,2,4,1,1,5,Iran,2.721,آذربایجان غربی,2,3,4,5,A+,L2,6,1,2.6,metro,39,2,True,craftsmanship,9,False
723,Abril Mireles,female,66,Arab,extended family,1,6,2,2,6,Mexico,7.317,Puebla,6,1,2,6,C,M2,6,2,3.4,motorbike,20,1,True,family business,4,False
724,Rotraud Patzer,female,70,White,step family,1,10,4,4,5,Germany,6.155,Sachsen-Anhalt,6,7,4,5,D−,12,8,3,3.7,bicycle,37,2,False,,,True
725,Joseph Hughes,male,39,Black,Abandonned,5,1,2,1,9,New Zealand,8.277000000000001,Taranaki,3,2,8,3,C,1,7,3,4.8,bicycle,47,9,False,,,False
726,Vojin Borojević,male,53,Arab,extended family,1,7,3,2,9,Serbia,5.078,Šumadija,5,2,7,5,D,1,10,1,22.0,bus,220,8,True,family business,7,True
727,Ramona Nichols,female,37,Black,Abandonned,4,8,1,1,3,Australia,8.183,Northern Territory,4,7,7,9,D−,M2,5,3,0.7,car,4,6,True,repetitive labour,7,True
728,Pranit Anand,male,38,White,biological family,2,10,3,3,9,India,5.819,Goa,4,8,8,4,C+,9,5,0,4.8,bus,47,1,True,hobby,8,False
729,محمدطاها کریمی,male,34,Hispanic,extended family,2,2,4,4,1,Iran,5.721,لرستان,1,3,2,1,D,5,7,3,3.0,metro,45,8,False,,,False
730,Leevi Jokinen,male,25,Arab,Abandonned,1,7,2,1,1,Finland,6.842,Satakunta,4,3,2,7,B−,1,4,0,2.2,car,13,3,True,hobby,3,False
731,Crystal Carr,female,68,Arab,biological family,4,3,4,3,7,United States,7.951,Iowa,6,10,5,7,B+,14,3,2,6.4,train,54,5,True,hobby,5,True
732,Diy Zaharko,male,70,Asian,extended family,4,10,4,2,10,Ukraine,6.875,Donecka,3,8,1,8,A,M2,7,1,5.4,taxi,36,3,False,,,True
733,Francisca Kon,female,72,Black,extended family,3,10,3,3,3,Netherlands,7.464,Groningen,2,3,1,1,C,14,4,2,0.5,walking,30,5,True,family business,4,False
734,Roland Munz,male,63,Hispanic,biological family,3,5,1,1,5,Germany,7.155,Brandenburg,7,8,3,10,F,M1,10,0,21.5,metro,322,3,False,,,False
735,Eefke Cuijpers,female,40,Asian,extended family,1,1,2,2,8,Netherlands,5.464,Friesland,4,7,7,10,A,1,6,3,14.9,car,89,4,True,hobby,3,False
736,Thom Ng,male,72,White,step family,2,9,3,2,6,Netherlands,7.464,Gelderland,2,5,3,4,D−,L3,4,3,4.3,car,25,7,True,hobby,1,True
737,Eva Carroll,female,53,Arab,Abandonned,1,3,2,2,4,United Kingdom,5.064,County Antrim,5,10,4,6,C,M2,10,2,5.3,taxi,35,9,False,,,True
738,Abigail Jennings,female,62,Black,Adopted,2,2,3,2,4,United Kingdom,9.064,Northamptonshire,2,2,10,4,D,M1,3,0,0.9,bus,9,2,False,,,False
739,Henry Voit,male,45,Asian,Abandonned,3,9,1,1,2,Germany,6.155,Hessen,2,4,7,10,B−,1,6,1,12.2,bus,122,8,False,,,True
740,Abraão Fogaça,male,40,White,Adopted,3,9,3,2,9,Brazil,7.33,Minas Gerais,4,4,5,4,C−,14,9,0,7.4,walking,444,6,True,hobby,8,True
741,Salete Oliveira,female,46,Black,Abandonned,4,2,4,1,5,Brazil,7.33,Roraima,2,8,5,7,F,M1,4,3,11.6,bicycle,116,9,False,,,False
742,Sadhil Manjunath,male,35,Arab,extended family,4,5,4,4,10,India,4.819,Gujarat,2,5,8,5,C−,6,10,3,6.2,bus,62,7,True,hobby,7,False
743,Jelte Guldemond,male,52,White,Abandonned,5,10,3,2,9,Netherlands,6.464,Zeeland,5,4,8,5,A,M2,2,3,12.8,metro,192,10,True,craftsmanship,10,True
744,Ken Myers,male,62,Black,extended family,2,3,3,1,7,United Kingdom,6.064,Durham,6,7,10,5,C−,12,1,3,1.8,car,10,4,True,craftsmanship,4,True
745,Eloy Trujillo,male,50,Asian,extended family,4,9,1,1,5,Mexico,8.317,Durango,6,5,1,5,D+,L3,8,3,1.4,taxi,9,5,False,,,False
746,Clara Hovde,female,51,Hispanic,Abandonned,5,10,4,2,5,Norway,8.392,Akershus,3,8,1,9,C−,1,5,3,11.9,bus,119,3,False,,,False
747,Hans-Theo Steinhauser,male,64,Black,Abandonned,4,4,4,3,7,Germany,6.155,Nordrhein-Westfalen,4,2,2,3,F,L3,5,2,6.0,metro,90,9,True,craftsmanship,2,True
748,Soledad Pérez,female,71,Black,step family,1,2,4,1,9,Spain,7.491,País Vasco,3,10,1,5,A,4,7,1,14.0,train,120,6,True,family business,4,True
749,Yosef Olsnes,male,71,Hispanic,extended family,3,1,3,2,1,Norway,9.392,Buskerud,2,9,5,1,A−,3,9,2,4.4,car,26,2,True,hobby,10,True
750,Vilina Lavrivskiy,female,31,Asian,Adopted,2,6,4,3,2,Ukraine,6.875,Zakarpatska,2,10,9,7,D+,13,4,1,10.4,motorbike,62,5,False,,,False
751,Neysa Saha,female,52,Black,biological family,1,7,1,1,7,India,5.819,Gujarat,1,9,7,6,C+,L3,10,2,3.0,motorbike,18,1,False,,,True
